Date;SP/GOLD;MM7
01/04/1965;2,523647692;1,843886124
01/05/1965;2,504106485;1,858831978
01/06/1965;2,382327952;1,871940365
01/07/1965;2,414330218;1,884772289
01/08/1965;2,468705749;1,898062737
01/09/1965;2,547720193;1,911515017
01/10/1965;2,617388842;1,925368505
01/11/1965;2,594449165;1,938561179
01/12/1965;2,617672048;1,951109897
01/01/1966;2,630416313;1,963729417
01/02/1966;2,583404135;1,975802754
01/03/1966;2,527046163;1,987195048
01/04/1966;2,578872841;1,998479454
01/05/1966;2,439252336;2,007734218
01/06/1966;2,399886718;2,016591145
01/07/1966;2,367601246;2,024375936
01/08/1966;2,183517417;2,030276058
01/09/1966;2,168224299;2,036911168
01/10/1966;2,271311243;2,044557727
01/11/1966;2,278391391;2,052032339
01/12/1966;2,27499292;2,058923683
01/01/1967;2,452846219;2,069375329
01/02/1967;2,457660719;2,079712344
01/03/1967;2,554517134;2,091465388
01/04/1967;2,662418578;2,104830009
01/05/1967;2,522798074;2,116040242
01/06/1967;2,566978193;2,127408936
01/07/1967;2,683375814;2,140638697
01/08/1967;2,65193996;2,153005354
01/09/1967;2,738884169;2,167566857
01/10/1967;2,64231096;2,181022508
01/11/1967;2,662135372;2,193989292
01/12/1967;2,732087227;2,206922361
01/01/1968;2,288265939;2,213334503
01/02/1968;2,216819648;2,218336426
01/03/1968;2,237658149;2,223040243
01/04/1968;2,49258312;2,230694593
01/05/1968;2,34952381;2,236224419
01/06/1968;2,431746032;2,243380409
01/07/1968;2,512596401;2,250784146
01/08/1968;2,480803011;2,257367724
01/09/1968;2,586146096;2,265657166
01/10/1968;2,638010204;2,273926826
01/11/1968;2,71944793;2,282255677
01/12/1968;2,475804529;2,287606467
01/01/1969;2,420916569;2,293217505
01/02/1969;2,293828892;2,296937987
01/03/1969;2,355220418;2,301527552
01/04/1969;2,378211009;2,307843931
01/05/1969;2,397682503;2,316283523
01/06/1969;2,369876304;2,326037381
01/07/1969;2,21544029;2,332779433
01/08/1969;2,332356532;2,340613282
01/09/1969;2,290774908;2,348912989
01/10/1969;2,437139272;2,358870841
01/11/1969;2,638818565;2,369294397
01/12/1969;2,614598126;2,379146408
01/01/1970;2,430531732;2,385761988
01/02/1970;2,557142857;2,3945288
01/03/1970;2,539093484;2,402312037
01/04/1970;2,273919107;2,405849441
01/05/1970;2,156338028;2,407649921
01/06/1970;2,047873838;2,408641285
01/07/1970;2,211674695;2,411663575
01/08/1970;2,278367803;2,414343636
01/09/1970;2,32615894;2,417862359
01/10/1970;2,225935829;2,419409133
01/11/1970;2,319148936;2,422328564
01/12/1970;2,465222044;2,426383462
01/01/1971;2,523157895;2,43044703
01/02/1971;2,494199536;2,433909622
01/03/1971;2,585309278;2,438059016
01/04/1971;2,625;2,442519088
01/05/1971;2,441911765;2,444492731
01/06/1971;2,455223881;2,446179814
01/07/1971;2,25;2,444921402
01/08/1971;2,415365854;2,446086783
01/09/1971;2,314971751;2,445264695
01/10/1971;2,22240566;2,443111367
01/11/1971;2,158208955;2,440342139
01/12/1971;2,346896552;2,439707932
01/01/1972;2,213844515;2,436542381
01/02/1972;2,201859504;2,433277981
01/03/1972;2,215791649;2,430607621
01/04/1972;2,175151515;2,426458857
01/05/1972;1,847048904;2,418636743
01/06/1972;1,671450858;2,41017392
01/07/1972;1,558635704;2,399987081
01/08/1972;1,663023952;2,390395631
01/09/1972;1,724648986;2,380597164
01/10/1972;1,731801956;2,370054463
01/11/1972;1,834433962;2,361006663
01/12/1972;1,824574961;2,351565031
01/01/1973;1,758030303;2,341179483
01/02/1973;1,30926143;2,326011118
01/03/1973;1,23567867;2,310637695
01/04/1973;1,17938258;2,293977097
01/05/1973;0,916593886;2,27585021
01/06/1973;0,844210526;2,257330256
01/07/1973;0,939409722;2,240327976
01/08/1973;1,002403846;2,2262671
01/09/1973;1,08159601;2,213331049
01/10/1973;1,113521851;2,199547842
01/11/1973;0,957206983;2,183819456
01/12/1973;0,869042316;2,167081949
01/01/1974;0,724727955;2,146509112
01/02/1974;0,567669617;2,124009218
01/03/1974;0,543236994;2,100065407
01/04/1974;0,535964392;2,074750476
01/05/1974;0,557699681;2,051356448
01/06/1974;0,586030664;2,027773739
01/07/1974;0,515;2,001959741
01/08/1974;0,4647343;1,975921579
01/09/1974;0,430779661;1,948444144
01/10/1974;0,444110577;1,922275092
01/11/1974;0,384450549;1,895159796
01/12/1974;0,365653333;1,866987964
